model_name,checkpoint,threshold,tn,fp,fn,tp,accuracy,sensitivity,specificity,balanced_accuracy,precision_normal,precision_pneumonia,f1_normal,f1_pneumonia,roc_auc,pr_auc,support_normal,support_pneumonia,loss,seconds_per_image
densenet121,outputs/runs_third_finetune/densenet121/best.pt,0.5,11128,49284,83,1270,0.2007285679592002,0.9386548410938654,0.18420181420909754,0.5614283276514815,0.9925965569529926,0.02512165209478973,0.3107381706993564,0.0489336698325852,0.6745215802952274,0.03897052923012324,60412,1353,8.823182661904118,0.08304899578037722
densenet121,outputs/runs_third_finetune/densenet121/best.pt,0.6,12126,48286,93,1260,0.2167246822634178,0.9312638580931264,0.20072171091836058,0.5659927845057435,0.9923889025288485,0.025430912687199773,0.3339070094036981,0.04950981355232912,0.6745215802952274,0.03897052923012324,60412,1353,8.823182661904118,0.08304899578037722
densenet121,outputs/runs_third_finetune/densenet121/best.pt,0.65,12711,47701,99,1254,0.2260989233384603,0.926829268292683,0.21040521750645566,0.5686172428995693,0.992271662763466,0.02561536104585844,0.3471907350249924,0.049852906098433646,0.6745215802952274,0.03897052923012324,60412,1353,8.823182661904118,0.08304899578037722
densenet121,outputs/runs_third_finetune/densenet121/best.pt,0.7,13315,47097,108,1245,0.2357322107989962,0.9201773835920177,0.22040323114612992,0.5702903073690738,0.9919541086195336,0.02575400273054487,0.3606690593891786,0.050105644431029286,0.6745215802952274,0.03897052923012324,60412,1353,8.823182661904118,0.08304899578037722
efficientnet_b0,outputs/runs_third_finetune/efficientnet_b0/best.pt,0.5,7681,52731,55,1298,0.14537359345907877,0.959349593495935,0.12714361385155268,0.5432466036737438,0.9928903826266805,0.024024135186659017,0.22542114221987442,0.04687443573724315,0.6422064120044089,0.03518735768842789,60412,1353,8.057518377078647,0.04957414470101051
efficientnet_b0,outputs/runs_third_finetune/efficientnet_b0/best.pt,0.6,8870,51542,66,1287,0.16444588359103052,0.9512195121951219,0.146825134079322,0.549022323137222,0.9926141450313339,0.024361619565011643,0.25581127069273807,0.047506551991436274,0.6422064120044089,0.03518735768842789,60412,1353,8.057518377078647,0.04957414470101051
efficientnet_b0,outputs/runs_third_finetune/efficientnet_b0/best.pt,0.65,9460,50952,75,1278,0.1738525054642597,0.9445676274944568,0.15659140568099053,0.5505795165877236,0.9921342422653382,0.02446869615163699,0.2704905142465009,0.04770169643357035,0.6422064120044089,0.03518735768842789,60412,1353,8.057518377078647,0.04957414470101051
efficientnet_b0,outputs/runs_third_finetune/efficientnet_b0/best.pt,0.7,10122,50290,84,1269,0.1844248360722092,0.9379157427937915,0.16754949347811693,0.5527326181359542,0.9917695473251029,0.024612579762989972,0.2866691211872327,0.04796643483519806,0.6422064120044089,0.03518735768842789,60412,1353,8.057518377078647,0.04957414470101051
mobilenet_v3_large,outputs/runs_third_finetune/mobilenet_v3_large/best.pt,0.5,13606,46806,107,1246,0.2404598073342508,0.9209164818920916,0.22522015493610542,0.5730683184140986,0.9921971851527748,0.025930242237575958,0.36710961214165266,0.05044023884222244,0.6646271238554633,0.038989198455881724,60412,1353,7.266998019102063,0.03120363745310468
mobilenet_v3_large,outputs/runs_third_finetune/mobilenet_v3_large/best.pt,0.6,15622,44790,131,1222,0.27271108232817937,0.9031781226903178,0.2585910084089254,0.5808845655496216,0.9916841236589856,0.026558289141962965,0.4102146655287862,0.051599282170378964,0.6646271238554633,0.038989198455881724,60412,1353,7.266998019102063,0.03120363745310468
mobilenet_v3_large,outputs/runs_third_finetune/mobilenet_v3_large/best.pt,0.65,16609,43803,143,1210,0.2884967214441836,0.8943089430894309,0.2749288220883268,0.5846188825888788,0.99146370582617,0.026881123231066582,0.430485718728941,0.052193417590475785,0.6646271238554633,0.038989198455881724,60412,1353,7.266998019102063,0.03120363745310468
mobilenet_v3_large,outputs/runs_third_finetune/mobilenet_v3_large/best.pt,0.7,17634,42778,154,1199,0.304913786124828,0.8861788617886179,0.29189564987088656,0.5890372558297523,0.9913424780751068,0.02726425176796962,0.450997442455243,0.0529009485991617,0.6646271238554633,0.038989198455881724,60412,1353,7.266998019102063,0.03120363745310468
pneumonia_net,outputs/runs_third_finetune/pneumonia_net/best.pt,0.5,10854,49558,106,1247,0.19592001942847892,0.9216555801921655,0.1796662914652718,0.5506609358287187,0.9903284671532847,0.024544828264934555,0.30415288908815785,0.04781625062310672,0.6098292770035019,0.02908680504087058,60412,1353,5.700270768172305,0.00565597802085411
pneumonia_net,outputs/runs_third_finetune/pneumonia_net/best.pt,0.6,12309,48103,125,1228,0.21916943252651178,0.9076127124907613,0.2037509104151493,0.5556818114529553,0.9899469197362072,0.024893069266789646,0.3379458034758257,0.048457106779259726,0.6098292770035019,0.02908680504087058,60412,1353,5.700270768172305,0.00565597802085411
pneumonia_net,outputs/runs_third_finetune/pneumonia_net/best.pt,0.65,13052,47360,133,1220,0.23106937586011495,0.90169992609017,0.2160497914321658,0.5588748587611679,0.9899127796738718,0.025113215314944422,0.3546883704498825,0.048865479742855426,0.6098292770035019,0.02908680504087058,60412,1353,5.700270768172305,0.00565597802085411
pneumonia_net,outputs/runs_third_finetune/pneumonia_net/best.pt,0.7,13922,46490,139,1214,0.24505788067675868,0.8972653362897265,0.23045090379394823,0.5638581200418373,0.9901145011023398,0.02544859969813852,0.3738804667463376,0.04949344639908678,0.6098292770035019,0.02908680504087058,60412,1353,5.700270768172305,0.00565597802085411
resnet18,outputs/runs_third_finetune/resnet18/best.pt,0.5,7765,52647,60,1293,0.14665263498745243,0.9556541019955654,0.12853406607958684,0.5420940840375761,0.9923322683706071,0.023971078976640713,0.22758913785776044,0.046769030437849274,0.669203111533863,0.03828657035519274,60412,1353,9.038369679433618,0.019661214260374187
resnet18,outputs/runs_third_finetune/resnet18/best.pt,0.6,8996,51416,67,1286,0.16646968347769772,0.950480413895048,0.14891081242137325,0.5496956131582106,0.9926073044245834,0.024401350992372207,0.2589708528247571,0.04758116732957174,0.669203111533863,0.03828657035519274,60412,1353,9.038369679433618,0.019661214260374187
resnet18,outputs/runs_third_finetune/resnet18/best.pt,0.65,9707,50705,68,1285,0.17796486683396745,0.9497413155949741,0.16067999735151955,0.5552106564732469,0.9930434782608696,0.02471629159453741,0.2766039295026145,0.0481787675983728,0.669203111533863,0.03828657035519274,60412,1353,9.038369679433618,0.019661214260374187
resnet18,outputs/runs_third_finetune/resnet18/best.pt,0.7,10486,49926,73,1280,0.1904962357322108,0.9460458240946046,0.17357478646626498,0.5598103052804347,0.9930864665214509,0.024997070655782525,0.2955009792732243,0.04870716718354611,0.669203111533863,0.03828657035519274,60412,1353,9.038369679433618,0.019661214260374187
